x,y,z,class
-0.088155925,-0.646120787,1.477025032,M
-0.350317836,0.014511824,0.627434731,M
0.005246997,-1.196444273,1.362179756,M
-0.12234652,-0.712880611,0.919377327,M
-0.625795603,-0.109989643,1.482729912,M
-0.037472785,-0.392793417,1.051493645,M
-0.10186857,-0.523814678,1.252215385,M
-0.380667746,-0.299734116,0.948527336,M
-3.879345179,0.283461571,3.686337471,M
3.789187193,-4.335927963,3.197075844,M
-2.434053898,0.836375237,0.428379059,M
5.223134995,-2.355021,-3.64911437,M
-0.620048344,-1.591224909,3.6970644,M
0.58741188,-3.666472435,5.14030838,M
1.992501855,-1.206841469,-0.805478096,M
4.900069714,0.899475336,-3.735566616,M
0.246016979,-1.324715137,10.45862961,M
0.836533785,1.838766575,-8.448535919,M
-1.061729908,1.989684343,3.310591698,M
1.695780039,0.867315054,4.16212225,M
1.591460466,2.541468859,2.853837013,M
0.201099336,1.554738998,5.152367115,M
